text,profanity
@ usabillofrights : psychological warfare dhimmis -- defeating forces world 's trash h,0
came home cat sleeping pillow ; c love niggah .,1
"yeah right , yeah right , guys faggot .",1
's `` unique '' 's ghetto hell .,1
dont say nigga say nigger . im like chuck norris . say nigger word checking shoulder .,1
cooking breakfast nude wifey status ? fuck . actually cooked aint grease burns nips !,1
"@ tedofficialpage : guy : send pic pussy girl : ok * sends pic pussy * guy : holy shit , dafuq wanted cat ! ! !",1
bitches napa fewer 100 people injured literally 2 reported critical,1
swat twat,1
@ rihannahasaids : bitch built like squid ward ate krabby patties @ acaciamakayla : @ djzeeti dont retire love . h,1
pedoz,1
@ mrmooncricket @ racistnegro69 rich ? haha u broke bitch . women fuck . lol .,1
@ brendagisselca 'm mexican real beaners mexican americanized beaners : (,1
"lil dumb ass bitch , ai n't fuckin wit chu ! .. got million , trillion things 'd fuckin ' .. fuckin witchu .",1
@ almostkanye : @ resolutionary_ : crabtree woulda caught sherman game y'all woulda said sherman trash got,0
@ _lranderson hoe,1
"@ thad_castie : milf sexy ass mom 35 . 're 20 , 're just bitch baby .",1
'm just salty bitch,1
@ betteraretulips : girls fucking retarded started cramping man 's double d 's,1
kangaroo jac ! @ waynel_jr : bitch wit dry weave @ taelar_bby : fuck look like hoe,1
'm bitches,1
@ kenny__wright @ itsfrankybitch @ yopapi_chulo 17 high school dont house fucking faggot,1
@ asdfgheatherr tonight 're gon na hoe tomorrow,1
bussy @ mrtriskaideka : avi pussy poppin handstand ? ?,1
lew differ philosophy say smack bitch bet watch mouf,1
@ nostalgic_mike : aw y'all hoes hating girl looks like dude,1
@ cmre24 sum wrong pussy- sweetssmh,1
@ jawshoeeahhh n't mean 're balling lol shut hoe lol,1
@ lilbthebasedgod : nerdy fat bitch yes sir fucked `` basedgod '' - lil b,1
"charlie crist ( r , , d - fl ) rumored demand recount . # sayfie",0
wrote absolute worst paper life week got b+ . got ta love taking freshman english # retards,1
@ bayonettes : tweet som'n just laughs bitch wan na spoil fun getting ..,1
@ dadamnbone 'm finna dm pic bruh hoes funny,1
hate bitches try talk shit chipped nails,1
@ tyga : ai n't hoe .,1
bird word . # esurancesave30,0
@ beeetzzz : feel bad guys girlfriends world bitch treats like shit .. like damn,1
"speaking ford garland , need sub . job application . lol killin 2 birds stone ! ! # merica",0
@ __iamjazz : d hoes ?,1
@ dre_thinks damn coach ai n't called bitch ass,1
@ _cblaze sorry eat pussy,1
based god fucked bitches,1
"@ bigg_boss23 : twitter , bitch fights niggas . females bruh ..",1
@ sukasuiti : `` @ uce_ina : nawwww hoe sittin floor damn couuuuuch '' birthday feb naa ? nope,1
@ lilywalshh : bad 'm bitch ..,1
@ ciscoallday : different dude week hoe ... # jsno n't listen ladies # dou,1
"@ king_sm howard elbow bosh , bosh fight ? n't got mcbob bird ud",0
"@ craigslistlove : 'doctor ' available examine pussy , testicles penis painlessly possible .",1
nasty hoe,1
@ ac_hussle : yall having good day brings bitch twitter,1
"`` ghetto , ca n't ghetto . ''",1
@ woody_afc @ mrgam3r49 @ maniac3x fuck outta faggot n't fair,1
@ smith_wessern : hoes live jus hit clubs weekend ..,1
@ conrad_mlg im goin expecting slept faggot,1
fuckface,1
@ ihuntgoblins @ sinatraa_ time beat 'm `` faggot '' maybe 'm just better lmao,1
good neck dis hoe ?,1
@ ikesizzle : @ ericajenee_ : @ _shedazzle : ike finna bitter bitches upsaught - n't care lmao |,1
"@ assholejaay : does dick make yall hoes feel relevant ? , evaluate life .. thanks",1
dont acknowledge hoes .,1
'm flexing niggas bitches,1
's got baddest pussy planet,1
paybacks bitch .,1
@ trillesty : retweet ratchet hoe timeline .,1
@ asaakira : bird just flew hotel room . 'd gangbanged 10 mandingos 2 days straight experience,1
@ versacesilk : boys discover hoe,1
pumpkin spice marlboro 's da hoes,1
"girls got job , college set better future , mad nigga leave cause got pussy",1
@ aliciadaniella8 hoes trash,1
secret party mission ! live tweaking mock fatpo .,0
"@ acewuzhere talking 5 , 6am . aint friends , pussy .",1
@ fredosantana300 : fucked yo bitch n't mad 's new fuck everybody 's bitch # thesethotsareforeveryone,1
"@ rappersaid : joey bada $ $ said `` traded nikes new mic , guess 's safe say sold soles new life . '' http : /",0
y'all 'm mad wasted calories honey bun .. ho dry hell,1
@ tripleogi_ : kanye nigga successfully save hoe.lol original . tweet,1
@ ericwithahotdad bitch 'm school,1
hahah funny little dumb hoes want follow nigga just ass like bitch fuck kreepen fo ?,1
@ _xcianna : n't like popeye 's spicy chicken bitches 10 boa trippen,1
just trynna bad bitch come,1
'm going bitch ai n't bitch let team hit,1
"did 's parents use refer power puff girls `` powder puff girls '' , just exceptionally retarded ?",0
@ lilmenifee__ : bitch tweaking hoe tweaking hoe,1
# yankees # jeter let play entire inning . 's fitting .,0
@ __dattootiegurl hoe ca n't cook,1
@ cbsthismorning @ charlierose racist @ norahodonnell tx trash enjoy high gop win substitute racist @ mittromney loss !,0
jizz,1
lmfao custy bitches like ( ) come,1
sack,1
label hoe,1
@ davegetnmoney : flagrant lebrons bitch,1
@ krisdarebel : @ aye_benny : searching hoes got ai n't bruh,1
"just said @ boythats_aryah : tl got ta chill pretty face challenge foolishness , y'all hoes agg",1
lying got theses bitches like u fuckin mind ... really focus just money ! !,1
"@ yankeeswfan : scout said prado `` team underrated . '' gives yankees 2b 2016 , slide 3b needed .",0
@ zhugstubble meet molly whoop yo bitch ass,1
@ realscottietee : girls dress like hoes wonder good guys n't attracted ...,1
"@ blackman38tide : @ whalelookyhere trying cat fish , like nuh uh bitch .",1
@ shakilaahh : - looooool 2nd best tweaking hoe vine,1
"'re irrelevant , bitch",1
fuck 'm bitch .,1
"`` mam , rene doet haar rol net ze ongesteld wat ongesteld ? '' van dat soort vragen waar je denkt : hoe leg ik die weer uit .",0
@ asaptwelvyy bruh bruh bitch ai n't loyal !,1
l3itch,1
crazy bitch - buckcherry,1
n't know hoe activities consist bc n't partake . shit 's damn near ca n't tweet hoe,1
comcast stop twat actually work thanks,1
im filling hoes jaw,1
@ keno_ n't law clam chowder served im bread bowls ? haha,0
"n't know yo bitch doing tuat ai n't bitch , im just sayin .",1
`` @ showarrive : hoes insecure niggas ca n't handle real . '',1
@ gossipcop julie tell crybaby blacks blk . dress white faced ...... niggers whining !,1
zerah cushite came army million men 300 chariots . came far mare,0
really n't pressed bitches social media ... talk ? yes . want .....,1
good trash @ jerseyzbest74 : niggas ate chips ahoy cookies cookies havent house 20 hours,1
@ ispeak_sarcasms : nigga future hoes ..,1
"tweet just song lyrics . n't really like bad bitches , like pretty chicks . bad bitches cheat easily",1
lickin toes basic bitch .. ca n't fuck basic bitch,1
@ pookiehuny : # endoftheworldconfessions follow retards twitter 're bunch morons need g ...,1
spicfuck,1
m @ asterbated,1
taking pics 'm school bathroom fucking stupid # retards,1
@ don07052 nigguh sucks,1
"bitch , 's fashion nigga , catch traffic",1
@ verseunanswered : did bitches frozen build snowman ?,1
@ bossman_carl lmaooo naw nigga imma stay right mentions hoe,1
@ fleebiscuit : girls anchor tats hoes,1
n't fuck wit bitches cuz think slick,1
@ now_thats_fresh : girl 's hoe friends gon na gas cheat . tall nigga abs start stroking club,1
@ monroedoll_ : got time `` having dem hoes '' ! ? 's aint wassup,1
"@ collegefession : `` guy tells does n't eat pussy , sudden n't suck dick anymore '' - centeral washington university",1
tell hoe turn lion king,1
endless really trash @ whoa_kimbosabe : men : positive ( s ) possibles y'all fri sun night ?,0
4th long bitches,1
"seconds end , 's gon na , pull trigger bitch .",1
"@ rhiannamator : `` 's bitch ? '' , stephanie . .",1
follow ah bitch ig tho 1inkkofrosess,1
leave 2 # teabaggers 2 whine infrastructure r ones wo n't pay . waiting god fix ? # morningjoe,0
niggas twitter like eat pussy yada yada niggas sti 's shit,1
waaaaay niggas comfortable wit dressing like ugly bitches ig likes re-posts ....,1
lol benghazi `` hearings '' proved republicans care taking pbo . # foxnews # teabaggers,0
hoes going broke trying look rich . act wage !,1
@ _james_kirby_ @ mflury30 ya queer bag,1
@ putya_han_onit : @ tweets_nochill : small titty bitches pierced nipples look like staples . lmao,1
run baldhead bitch thing ....,1
' ai n't trippen mo dropped knocked 4owe neva foo hoe ...,1
@ zayyswanson @ _emanimilan 'm jus tryn figure dem niccas like dat,1
fellator,1
# hellyeah @ bacongawd # @ huffingtonpost happy fall ! pumpkin spice oreos,0
@ zitlalyl supposed attract bitches tutu ?,1
like hello feet clearly desk bitch !,1
's 21st century ladies spoil man . n't snotty stuck bitch .,1
n't bitch speak initiate friendly hello .,1
mississippi state fans best just mock . 's easy . poor state . 's hard getting wins 25 opponents . # failstate,0
@ luckyl3ft @ najmaaa_ali yellow bone oh easy wit da callin b,0
@ mix_mommie : hate bitches `` talking '' shit like clearly you.i like `` bitch wit da red door hoe '',1
@ chefboyrnach vegeta super hoe . did snack goni fierce buu saga : wow :,1
fucking douche bro . 're fag,1
happy birthday nigguh @ dee_gotnohoes,1
deion 's bitch,1
@ megankjanes23 scrolling tl . ol ' sick ass bitch ! ! !,1
hoes start actually fucking 'll props hoes trash,1
@ jaidtaylorlive : hoes !,1
gon na use talmbout pussy tastes ? lol,1
wasnt gon bacc bitch outta fuccing mind,1
"`` devil grows inside hearts selfish wicked white , brown , yellow black color restricted ''",0
'm glory bitch,1
happy birthday @ kto40 love ya bitch cute 2012,1
retard .,1
bitches twitter turn saints like hoes shit kill nigga,1
@ pro_failure : favorite childhood memory mom stash 30 xanax slightly bitch exactly,1
"attn : brown university students , stop frisk protesters systematically dispersed random u.s. ghettos . good luck .",0
"`` bitch , biology said ... ''",1
@ sramirez07943 's goldbar dumb bitch dad n't pick does n't like faggots like,1
@ thenudesgod fucking fat bitch considered threesome ?,1
fat bitches twitter names `` princesscookieneckbackcrack `` lmaoo,1
@ empresstata aww man ball . small lil affair . set bitch !,1
"@ dezzzybo : want attention 's twitter talking getting somebodies dick wet tonight tongue does , deez hoes g",1
ca n't tell broke bitch nothin,1
real niggas bad bitches 2 things common . 're ignorant fuck know 're kings queens .,1
@ untouchable_t : ion care bitches,1
@ barbod6fcb . u lame bitch fuck gay shit,1
nigasses,1
"running game 5 years guess 's feet hurt , wonder bite bitches teeth hurt",1
c0x,1
"# porn , # android , # iphone , # ipad , # sex , # xxx , | # ebony | ebony texas bbw big deep pussy",1
hate bitch niggas think soon pussy theyre bad ass . youre 18 junior bang freshman . # bitchnigga,1
adopted bitch ? n't fuck kind `` mental illness '' claimin imma kill ya,1
@ mitchtierney @ slings_x_arrows ai n't lady bitch,1
penisfuckers,1
@ someonebelow : person did n't big booty hoe .,1
n't iphone manually ignore hoes,1
@ nightpurrowler @ oskzilla pussy shit !,1
"@ mrluckytoyou : pussy good , umma moan um eating .",1
'm dressing albino day scaring shit amaris ' mom,1
@ muhlackk : 'm trynna bitch fat ass,1
@ _mindatease : wet pussy smell mf,1
`` @ chlldhoodruiner : ur teacher tells u u homework bitch need ! ! !,1
sausage jockey,1
bitches thirsty hella worried ig,1
time 'm posted using phone macy 's employee wan na scare bitches,1
@ alexschnider niiice nigga schinder pullin hoes,1
"@ eanahs__ : @ 1inkkofrosess bro just want ho , year ?",1
@ belong : self esteem levels : 'm worthless piece shit deserves love bow bitches,1
bumpin nigga nigga rick ross b.m.f hoe going harrrrd highh outside enjoying weather,1
@ _mahoganylov3 right @ kingdominicus : idk selling pussy $ 65 thats way high,1
@ averyrondinelli : @ tneut10 going host baddest bitch competition ?,1
@ arianagrande bitch @ cumwiththewind,1
@ avengerstratus : 's hotter pale albino chick play guitar .,0
@ sexwith_sockson faggot,1
@ realskipbayless course u pc lemming.one just says word nigger.the potential reek havoc society,1
jihadi john struck . prayers victims ' families . # bounty head ? time 4 2 meet allah,0
@ sexmatical : kids nigger xbox,1
@ whiteboyceezy : hoes familiar,1
quit teasing bitch,1
"@ superrrrmcnasty : lmfao , bitch giving head classroom better tf ahead !",1
@ beautifulcallen nigger lol thts offensive ..... lol xmas iite couple drinks fine ninja xmas ... lol,1
@ olmelonhead : bitches acting different ! buuut 's cool !,1
lie die gone die love friends love hoes yellow sluts gold,1
"`` weekends going fabulous '' naa man , 're seeing nae cunt . 'll koed 2 seconds flat . hate u . # fuckgm",1
fugged,1
@ ariestheog cut bitch,1
@ _james_kirby_ : bigger hoops bigger hoe # jerryspringer # classic # truthhurts,1
"@ watch_mark @ watch_scenario normally say great pussy 've seen , 's true idk .",1
@ fucktravonn : . @ tropicalkyle hoe talent . das girls booking info bio 5k followers,1
"@ jazwau did rob , hoes like 4 online",1
"invite , bitch ? .",1
fuck ai n't shit new age hoes,1
@ 1usagrunt . wonder charlie brown say days .,0
@ heilsidious @ dyldobaggenss whatta fags doin ?,1
"luke hemmings really thinks 're trash , fucking dirt bc boys beautiful dammit",1
@ _beautifulkeezy bitch wea going .,1
@ duttyogshake : real game pub trash let 's drugs smashed,0
smoke sesh niggah u mean,1
@ geechiegal843 : act like ion ee kno dat bitch,1
trasherbitch,1
omg @ master_bay : yall met dyke did n't kid ?,1
gay ass hillbilly intro song,1
@ denytheprophecy thanks ignoring texts fag,1
@ scruffdaddy_ : `` hoe '' -dog,1
@ justkarahn dnt use shit hoe,1
old lady went pay reached way plate . hate eating bar countertops . stupid white bitch .,1
niccas real fa streets # rip ike # free nwax,1
"' fw niggahs everyday , neva changed , niggah . shit ma niggahs .",1
@ yatchakhannah : @ aireekatk stop crying pussy,1
"@ collegefession : `` thing collegefession taught fact , hoes ai n't loyal '' - stony brook",1
@ yofwm : @ brianlovesass_ : damn babe sike forever fucking basic bitches,1
bitch moreno valley ........,1
hoes cheat,1
@ bitcheslovestar mary 's friends like bitches n't exist,1
@ fuccseth : @ huntermoore bitch doing keg stand party,1
@ mijo_lgi 're bitch,1
`` faggots @ jonniesantana : orioles petty fuck ... got swept outta bitch '',1
@ elyssajankowski @ comedytextings haha stupid hoe,1
# ucla team beat trash,0
"says teabagger like millionaire complaining broke , huh # hillaryclinton ? # hillary2016 , break , lol . # p2",0
@ kiingvon : bitches fucking stupid smh,1
@ tcaputo44 : trust bitch # wordsofadvice,1
@ doubleaiv just watch bitch nigga u gon na want team dead,1
"@ yankees : # yankees win , 6-5 , # walkoff single derek jeter ! ! ! ! ! ! # farewellcaptain",0
@ trapgrampa : fucked ur bitch got bingo,1
come blue . make red green envy . n't black white . 're yellow luckily,0
`` bitch '' @ makennam_,1
@ teflondon4200 lil ricky stole mj chain tried flex bitch avi,1
@ michaelblackson : # shoutout chrisbrown beating bitch,1
@ sho_time_ @ mitchvorce chill ur pussy gay af,1
kikes,1
hate wishy washy bitch,1
@ ikesizzle : trey songz album single hoe ass nigga lol,1
"dad 's friend telling dad `` got good pussy night '' , `` good lay '' . real bummer .",1
slut ass queen bee bitch .,1
@ billythathird @ dimi_artale aye da fawking ginzos fawking queens fawking nassau,1
@ missbrionline @ lanipopchicago @ realydotgdot mfn birthday ! ! ! pink champaign dat bitch ! ! !,1
@ _missvain : lmfaooooo rt @ sirturn3r : lmaoo thats u got ? @ waddupivy : dougie yamming coon beat boxing,1
@ ehssecretadmire : `` @ cartermarteeny murder pussy ? '',1
hate hoes caption shit `` '' lol shit hella cheesy,1
"@ domworldpeace oh nab .. def easy . know , believe 'm legendary curving pussy .. lol guilty pleasure .",1
"wake ceiling , floor , outside , near trash , mom , hollywood , ally",1
"'re unattractive @ therealalonig : $ 10,000 dinner dates yo man bitch . # pow @ karrueche",1
sound like real nigga @ sankpanksimona : keith stood monkey bats looking girls skirts recess time . fucking creep,1
@ couldbeeashia : @ vivalamarley waiting ny nips pierced,0
"@ yankees : ballgame , # yankees win ! yanks beat white sox 10 innings , 4-3 .",0
know lil bitches runn mouth streets,1
polesmoker,1
20 've smoked 2 countries bitch . fuck want .,1
@ willmcavoyacn : ad haitian charity `` water life '' mocks people use # firstworldproblems hashtag juxtaposition . ...,0
love having subs cause mom starts fucking bitch just crank . simple solutions,1
puussy,1
@ lynkinthedog : @ tnasty4teen love hoes,1
@ thecoreyholcomb : man aborted baby $ . abortion bitches soon meet god baby face th,1
@ luke_brooks : fly banging windows called retarded thought `` umm 'm talki,0
hate hoes look pass u ass missing,1
want beat bitches ass soooo bad,1
@ beauty_briii : classmates offered teacher brownie said `` trying earn brownie points '',0
fail realize ion want `` friends '' bitches switch quiccer change channel,1
mfing,1
@ the1dscoop im omy movie right 'm literally gon na slap bitch scream shit .,1
@ stephyrae7 'm pimping guys park playing bitch volleyball . # hairychestsdoee,1
thinking bout gettin 500 $ ears cuz 'm getting money bitch,1
@ whiteboytatted : shout girls wear holy cross leggings got pussy thats sin,1
shiesterfuckhead,1
n't know cook ya man fr atleast nigga like . slackin ass bitches,1
really ai n't nothin cut bitch,1
"@ jrlikeswhisky @ zwithr stegosaurus hissed like snake , pterodactyl sounded like crow , t-rex like cross parrot elephant",0
@ koreyona_unique : hate messy females live mess ... like sit . classy hoe,1
# southcarolina highschool graduation rate near 50 % 's uninformed # teabaggers # morningjoe,0
@ david_hunninck bitches eh . hahah,1
lit bitch 's talkin shit ai n't math class today really wanted press issue,1
"aint mad , thats hoes",1
feel like bad bitch wear rhinestoned pocket jeans .,1
shit piss fuck cunt cocksucker motherfucker tits,1
browns schedule half year literally retarded easy .,1
@ cappdaprez : bust dat pussy wide open,1
"n't fuck iffy bitches/niggas . y'all n't fear heart , y'all bleed breathe",1
@ kieffer_jason u bring bitch .,1
@ chrisbegettinit : @ _100d : 's like zero bitches nap 's gon stick yo fall forreal tho ain lie,1
think classy niggah really ratchet,1
lot lil bitches wanted add 5h hashtag tweets 'll shit # vote5sos,1
bf gf suppose laugh hoes . guy hoes laughing girl,1
@ zach_smith98 @ kieffer_jason @ nathanndevlin bitch fight make shut going shit,1
@ oweesheredd : tell ya business ah bitch ca n't trust ya,1
@ bonnoxxx : @ webbmadethis mane skinny bitches playin lol weight class level,1
yes ! ! @ merky__ : ! ! ! @ huffposttaste buy new caramel apple flavor oreos ?,0
@ thatchriseckert gobble gook,0
fuck pussy fuck mouth fuck ass cause nasty,1
annnnd 're dyke .,1
high thenna bitch 's y 'm tweeting,1
`` ovo '' @ allthingsfresh3 : kendrick lamar trash,0
"ai n't like chasing money cause purpose , chasing hoes ? * vice versa *",1
@ _indylovee : bitch niggas n't live cold life $ tyle,1
@ heilsidious @ breezbyya lol caitlyn .. `` ca n't carry 3 retards '',1
slag,1
fucked know niggah want .,1
@ jordan_luree @ natalieschroyer nat ! ? def shiner,0
acting like spoiled little faggot fun,1
lookin bitch bet yo ass bone,1
"@ freddurst shut faggot , cares",1
@ kinghov1313 : recruited buku fags ! ... warehouse place !,1
@ oluwakaponeski : told military worst place bitch trying emotional ontop babe,1
@ theprinceperez : messi 's like `` 'm bitches `` lmao,1
@ police_tactgear article flawed . took chp brpd . . 2 ghetto gals jammy hi-purnt 9,1
restaurants . 'm fat ho . @ imjustceej : 20 contacts phone hoe,1
shemales,1
r3t @ rded,1
bitch tv bruh,1
im prolly wit yo bitch big butt fit 6 !,1
@ tess_stepakoff @ jetsnation6297 bitch 'm stud,1
"@ mrzsixtrue : ill break bitch , like pussy .",1
@ fierce_swagg : unfollow bitch . wo n't .,1
@ loveme_ashmarie : wish appropriate slapping bitches say stupid shit,1
hoes rated e !,1
"mean bitch whilin , gone knocked tf",1
plot twist : hoes loyal .,1
@ breezypetey went n't bitch,1
@ kingtunchi_ : fw grown hoes !,1
@ officialkingdre : lightskin bitches crying ai n't got valentine . bitch maybe 've read 400 unreads msgs . yo,1
b1otch,1
cuntness,1
jus need nig mack wilds win ... fk award tho,1
`` want play pussy ? '' - @ jimmyfallon * dead * # snl,1
@ rabehchararah1 lmaoo fag,1
@ catholicmomva @ neal_dewing cripple military : ),0
@ beenlame @ fucktravonn faggot,1
fuck hoe !,1
miami bitches,1
@ schulzgrayson @ dswizzle3 dont mom bitch ass nigga u better shut fucking mouth duck ass,1
"bitch asked pants sagg , cuz dey tryna hold bandz",1
wtf watching bgc hat watching ugly ass ghetto hoes family shame,1
@ covrtneyyy bitches lol cute tho wassup gimmi yo numba imma natural lmfaoo,1
spooks,1
"@ ggchanel @ jesjosie yeah , 's fuck jigsaw-faced bitch everyday , b .",1
@ 215_bub : n't sweat hoes come wit money,1
@ hollowdadonlom god damn chinks .,1
claim boss lil broke bitch,1
want pumpkin patch love birds make date rest uncomfortable .,0
"told chick tell truth , realest bitch met proof",1
molester,1
@ _kjthegreat : knew bitch college sold pussy 2-3 `` favors '',1
bitch rihanna dust,1
"like baathists , # isis al qaeda supporters ' rivalry absurd cause - battling 's authentic jihadi",0
"clear , n't think 's chance krug leaves russia . 's fun mock speculation .",0
"@ thebikeman99 father born nanticoke attended lehigh . 'm ct yankee , love pennsylvania dutch cooking : - )",0
lil bitch released exclusive shower photos niggas . # trustisbroken,1
@ dboi509 : shave pussy deserve fie head good dick # twitterafterdark : ),1
fuck getting notifications cunts getting married facebook ? dini gie fuck # getlost,1
@ allsportsbruh literally retarded . dropped head .,1
swag bitch # gratata,1
@ thatangrynigga bitches ? right,1
@ ihatestevensing ai n't bout dem colored diamonds talk da radio . diamond gets colored stolen,0
bad bitch flaws ? come meet drawers ?,1
# rayrice bitch . @ nfl got wrong . women fans livid ! # noexcuses,1
"@ skankymunter : pissed shower , checking yellow legs .",1
"@ larryx2010 : @ tip 4370 sunnyslope dr , memphis tenn 38141 ... come fucked ass lil skinny bitch , love read skinny",1
@ niggahyfenasian : `` tat fucking let em know love boy wassup '' . wonder bitches mistake year .,1
@ kiaranicole_x : @ _joaries @ kash_wingatelfc @ chanchan_ox babes buy brazilian peruvian bengali,0
@ nien_nunb did search ? gay redneck episode 1 play ?,1
know og niggaz bitches,1
@ la_di_dadee try pussy,1
hate bitch,1
"@ retrolivin_cam : hoes , 've known",1
"naomi campbell , rihanna , miley cyrus ? ... crazy bitches lol",1
thas bitch,1
@ carterreynolds : austin mahone making bitches horny right ...,1
"omg , 'm high bitch !",1
dodgerofzion asked : giant green rooster walks carrying tray brownies . brownie ...,0
", gung-ho ?",0
whitey bois gone ride,0
@ malloryynfante : instagram `` alice texas hoes '' . 's low ... alice .,1
gansitos atg beaner candy,1
mall balling bitch buy,1
ima pull eat pussy n dip,1
@ skinnykenny13 : `` @ 1017_sqquad : fat bitch want skinny bitch ca n't cook nothin hoes ai n't hungry ``,1
f @ gg0t,1
rambo bout flex hoes,1
@ curvables : bitch arguing dad,1
`` @ canifuckornah : y'all lil ugly bald headed bitches stop making make-up weave ? '',1
"@ heyrmbr played halo , busy slaying bitches",1
struggling college work ice jj fish making money trash lol . world come .,0
look lying ass bitches n't finish school stripping ya mind ass bitches,1
@ yagurlbubblez87 : ugly bitch prolly cockeyed lookin dick balls close time suckin time,1
@ donnie_blow : @ _100d : having bitch ai n't goofy . having bitch dat ai n't loyal,1
@ lexvan13 nigeria faggot,1
ca n't humble like moms hoes,1
@ victoriag3618 : history test bitch haha,1
@ asvprvchel @ kittty_jpg @ nosfiend215 nah im forreal yall pussies smell like dried crusty fish guts,1
"@ aekulze : hopes recruiting women , isis opens jihadi finishing school @ vocativ",0
"drew stubbs pimp , n't hit hoe .",1
@ yaboykip : `` hope bitch ai n't catfish '',1
kanye west faggot,1
@ _bunnycocaine_ : oomf hoe hopper,1
turk hoe y'all ....,1
@ _shegotthis yellow rice black beans pork chop sis,0
work shit birds .... ion think 8 hours ....,1
joey . just like little bitch,1
"@ realpimpinken pimpinkendotnet , sell bitch pussy til 's drip drop wet , vet , pet ! hey , bitch !",1
bitch ratchet,1
bad bitch,1
"@ uptownraised shame mama did n't teach women `` bitch '' . , ai n't fortunate , guess .",1
@ _pgwashere : truth b told -0 hoes,1
smack hoes ass like birthed bitches,1
quiet girls hoes watch,1
@ josepheach : d-emand e-veryone's m-oney o-bjects c-ollectively r-edistributed a-mong t-heir s-upporters,0
@ shreddybrady : close slapping bitch,1
@ talofabreeze : @ uce_ina @ snoleezey801 damn tweeting halfassed tweets meant say hoes dont make sense ..,1
@ unanswerdverses : did bitch ludacris 's way ?,1
"snow day bitches , lyrics gettin n bud getting smoked # snowday2014",1
got ta missed yoooo bitch,1
"@ ig4hunnit : yeah played , yeah got wanted . jokes , daddy bitch .",1
@ americanmirror @ praedor cop bitch slapped wan na b st. thug . got tm got dead n't slap cops r law,1
@ jusdontblowmyhi : y'all lucky dmx stopped makin music 'd barking hoes foo,1
"@ dvpedreams : pussy got 10 body counts , 's dead . pussies 9 lives",1
"rick told yall kill'em ! yall niccas did n't listen , chewing bob 's leg shit ! extra , tasty , crispy !",1
@ drfreezeburnn 's bias . 's objective fact philly fans cunts .,1
@ jessicacassell1 new hillbilly ! ! # spiritweek ! !,0
charlie baker mass gov .. lib newspaper lib state supports ' r ' gov ! dog @ bostonglobe,0
@ wichard_fella @ warrenholstein mentallity ? flaming fag mental issue,1
mom told `` drug paraphernalia '' trash . shitty life stoner cop mom . im pretty upset .,1
's tell hoes ai n't throwing neck `` @ shibermetimbers : aint got time '',1
@ sttbs73 : crazy # teabaggers given defunding obamacare moved using veterans ! # 1mvetmarch,0
@ thebananafacts : wiz khalifas 's song `` black yellow '' beautiful song bruised banana,0
u aint hoe trap hoooouusssee ! ! ! !,1
told . said `` bri n't tweef 're trash '' goes tweefs like 6 freshman,0
@ nerdatcooltable : soon girl niggas pouring champagne bitches ass want leave,1
's friday bitches,1
@ pepper_redbone @ yankees @ mets miss pizza ! passion .,0
dick-head,1
wow redskins n't want,0
"@ notevanlarkin hope , love dat bitch",1
"like beamers benzes porches , like bitches imported",1
"happy bro , happy ho : `` happy husband key marriage ? u c study thinks '' |",1
@ greaterthn : bad bitches fun @ ambernicolee05,1
really ca n't nice bitches 's easiest way cheated,1
@ clintswiftness : @ 00sexilexi00 bitch ass nigguh,1
working today faggot ? @ pipe_tyson,1
"bitch qualitest , dont act right # wisewordsfromwebb",1
@ elvis_notpresly gt android dmt kno whats box nig,1
# oomf 'm chilling till da bitch hit,1
@ sexualtruth : n't man pussy gives relationship . # truth,1
like yankees toinight -107,0
murda mook ! ! ! !,1
erica desperate bragging bout flawging ass scrapy eating pussy ... wow ur baby daddy dumb bitch 'm sure u gave dome,1
@ arabellaann : @ 0_facingreality : finna punch bitches das girl,1
shitefulls,1
"# peopletoavoid valerie jarrett , control reflex bitch slap .",1
@ alliemathews tweet n't text ok fag,1
niggas stand line jays mad . ehh fuck . pull hoes nd stunt em,1
dont really talk intentions boy nigga just turn pussy,1
"especially dem souf niccas , dat shit outrageous",1
"cat just rolled said `` lets run game 21 , bitch ''",1
cockheads,1
muthafuckker,1
"bought condoms party rite aid lady gave dirty look , just came bought trash bags # imagineherface",0
@ brickannn : bitches slutty costumes lol damn,1
okay number ai n't saved long ? okay thancc tf hoe .,1
`` fresh nigga kno need clean bitch ... kno 'm working cuz wan na team rich . '',1
pop pussy real nigga,1
say n't make bitches calling cellular,1
vandalize pussy.it 's .,1
@ stoney_blu : y'all big braid gelled baby hair havin bitches look like dashiki n't menace ... discussion,1
look fucking kaffirs hairdo . nigger,1
@ efcuttin : know pacer fans stayed clownin d. rose mass suicide watch ... karma fat bitch wit beard,1
@ craziestsex : hmu stop bein lil bitch,1
"aw man , bitch hard .. 'm like `` oh lord '' ... panties , baby , bra !",1
clusterfucking,1
ready bounce dis bitch,1
ca n't disrespect ass bitches,1
cleanup bitch just got phone em !,1
# alexfromtarget bitches wet ... lmmfao,1
@ theprinceofnj : @ smco71 : `` aint bout murder game pussy nigga shut `` 252 gang,1
"doctors office retarded , `` noticed prescription order , canceled . need refill , thanks ! ''",0
dick head,1
"@ mrnationwide : fake eyelashes okay look natural , bitches look like gon na flight blink fa",1
@ jawshoeeahhh @ fabianmleal suck dick hoe,1
skanks,1
servers black ops 2 acts gay today bitch fo nite,1
